,Room_Type,Hotel_Name,Time_of_Year,Length_of_Stay,Special_Events,Day_of_the_Week,Customer_Ratings,Competitor_Pricing,Historical_Sales_Data,Optimal_Pricing
0,Suite,Holiday Inn,Spring,19.0,Sports Events,Thursday,Medium,628.89,6531.93,694.1472492036376
1,Suite,Holiday Inn,Spring,20.0,Sports Events,Thursday,Medium,502.16,5130.65,574.8327643789115
2,Double,Holiday Inn,Summer,37.0,Festivals,Wednesday,Medium,545.8,5688.99,1047.1818537196123
3,Suite,Marriott,Summer,66.0,Sports Events,Thursday,Medium,457.57,5935.03,945.4546747986464
4,Double,Sheraton,Spring,46.0,Conferences,Thursday,Medium,477.75,4624.93,924.8153101515761
5,Deluxe,Sheraton,Summer,30.0,Festivals,Friday,Medium,536.19,4456.98,1239.563451008389
6,Suite,Marriott,Spring,25.0,Festivals,Wednesday,High,681.52,5726.5,848.3325536860866
7,Suite,Sheraton,Spring,47.0,Festivals,Tuesday,Medium,519.01,6305.65,726.1594751677699
8,Suite,Holiday Inn,Summer,36.0,Sports Events,Thursday,Medium,426.39,4180.2,943.3025614688984
9,Double,Holiday Inn,Spring,62.0,Festivals,Friday,High,458.99,3565.17,562.207894606663
10,Double,Sheraton,Spring,42.0,Festivals,Thursday,Medium,602.5,5050.66,788.8602030956137
11,Double,Holiday Inn,Summer,38.0,Festivals,Thursday,Low,705.12,6235.8,1067.7748623506498
12,Single,Holiday Inn,Summer,43.0,Sports Events,Friday,Medium,333.29,3585.86,421.5943184172596
13,Deluxe,Holiday Inn,Spring,33.0,Festivals,Thursday,Low,748.8,5874.66,1136.1170513305938
14,Double,Holiday Inn,Spring,31.0,Festivals,Thursday,Medium,465.77,5672.54,628.2168811637624
15,Single,Holiday Inn,Summer,51.0,Concerts,Thursday,Medium,534.74,3519.24,451.731296613405
16,Single,Holiday Inn,Spring,52.0,Conferences,Thursday,Medium,495.22,3705.15,572.8286430983044
17,Deluxe,Holiday Inn,Spring,53.0,Festivals,Wednesday,Medium,456.2,3425.15,958.192483761786
18,Deluxe,Holiday Inn,Spring,56.0,Festivals,Wednesday,High,390.93,5234.92,848.1645782089983
19,Deluxe,Marriott,Spring,61.0,Festivals,Wednesday,High,408.55,2468.05,677.0822837630933
20,Double,Holiday Inn,Spring,42.0,Festivals,Saturday,Medium,381.21,4244.31,461.032713304712
21,Deluxe,Holiday Inn,Summer,20.0,Festivals,Wednesday,High,622.95,4955.28,1102.9399504766934
22,Suite,Holiday Inn,Summer,42.0,Conferences,Wednesday,Low,476.49,5632.82,1109.754279255054
23,Double,Holiday Inn,Spring,55.0,Conferences,Friday,Medium,549.35,6562.71,990.4909887399214
24,Double,Sheraton,Summer,63.0,Conferences,Friday,Medium,437.49,6433.52,1275.4143139523096
25,Double,Holiday Inn,Summer,33.0,Conferences,Thursday,Low,669.41,4612.74,1155.0359910539707
26,Deluxe,Holiday Inn,Winter,52.0,Conferences,Thursday,High,542.16,6182.13,1045.8048994852622
27,Double,Holiday Inn,Summer,44.0,Festivals,Thursday,Medium,620.58,4925.89,933.1053267835781
28,Suite,Marriott,Spring,44.0,Conferences,Monday,Medium,621.33,5519.73,854.8228638638891
29,Suite,Holiday Inn,Summer,47.0,Festivals,Thursday,Medium,624.83,5408.76,1091.187903438397
30,Suite,Marriott,Summer,51.0,Festivals,Thursday,Medium,514.0,6413.46,1356.619564327775
31,Suite,Marriott,Summer,20.0,Conferences,Saturday,Medium,586.13,7241.6,1525.243337992135
32,Suite,Holiday Inn,Spring,65.0,Sports Events,Friday,High,368.56,7108.56,890.6033862735005
33,Deluxe,Holiday Inn,Spring,52.0,Sports Events,Thursday,Medium,382.15,5537.17,942.6752900771843
34,Deluxe,Sheraton,Summer,70.0,Festivals,Wednesday,Medium,582.19,4892.93,1160.8354091244053
35,Suite,Holiday Inn,Winter,60.0,Festivals,Friday,High,583.42,4795.94,786.597146262858
